Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Circulating AR copy number and outcome to enzalutamide in docetaxel-treated metastatic castration-resistant prostate cancer.","/pubmed/27191887","Salvi S, Casadio V, Conteduca V, Lolli C, Gurioli G, Martignano F, Schepisi G, Testoni S, Scarpi E, Amadori D, Calistri D, Attard G, De Giorgi U.","Oncotarget. 2016 Jun 21;7(25):37839-37845. doi: 10.18632/oncotarget.9341.","Oncotarget.  2016","PubMed","citation","PMID:27191887 | PMCID:PMC5122353","pubmed","27191887","create date:2016/10/23 | first author:Salvi S",
"Detection limits of quantitative and digital PCR assays and their influence in presence-absence surveys of environmental DNA.","/pubmed/27768244","Hunter ME, Dorazio RM, Butterfield JS, Meigs-Friend G, Nico LG, Ferrante JA.","Mol Ecol Resour. 2017 Mar;17(2):221-229. doi: 10.1111/1755-0998.12619.","Mol Ecol Resour.  2017","PubMed","citation","PMID:27768244","pubmed","27768244","create date:2016/10/22 | first author:Hunter ME",
"Creating conditional dual fluorescence labeled transgenic animals for studying function of small noncoding RNAs.","/pubmed/27763799","Yang K, Gao Y, Yang M, Xu Z, Chen Q.","Connect Tissue Res. 2017 Jan;58(1):103-115. doi: 10.1080/03008207.2016.1247834.","Connect Tissue Res.  2017","PubMed","citation","PMID:27763799","pubmed","27763799","create date:2016/10/21 | first author:Yang K",
"Application of Droplet Digital PCR for Estimating Vector Copy Number States in Stem Cell Gene Therapy.","/pubmed/27763786","Lin HT, Okumura T, Yatsuda Y, Ito S, Nakauchi H, Otsu M.","Hum Gene Ther Methods. 2016 Oct;27(5):197-208.","Hum Gene Ther Methods.  2016","PubMed","citation","PMID:27763786 | PMCID:PMC5111482","pubmed","27763786","create date:2016/10/21 | first author:Lin HT",
"Reproducibility of Digital PCR Assays for Circulating Tumor DNA Analysis in Advanced Breast Cancer.","/pubmed/27760227","Hrebien S, O'Leary B, Beaney M, Schiavon G, Fribbens C, Bhambra A, Johnson R, Garcia-Murillas I, Turner N.","PLoS One. 2016 Oct 19;11(10):e0165023. doi: 10.1371/journal.pone.0165023.","PLoS One.  2016","PubMed","citation","PMID:27760227 | PMCID:PMC5070760","pubmed","27760227","create date:2016/10/21 | first author:Hrebien S",
"A poly(dimethylsiloxane) microfluidic sheet reversibly adhered on a glass plate for creation of emulsion droplets for droplet digital PCR.","/pubmed/27568642","Nakashoji Y, Tanaka H, Tsukagoshi K, Hashimoto M.","Electrophoresis. 2017 Jan;38(2):296-304. doi: 10.1002/elps.201600309.","Electrophoresis.  2017","PubMed","citation","PMID:27568642","pubmed","27568642","create date:2016/10/21 | first author:Nakashoji Y",
"Digital PCR of Genomic Rearrangements for Monitoring Circulating Tumour DNA.","/pubmed/27753035","Do H, Cameron D, Molania R, Thapa B, Rivalland G, Mitchell PL, Murone C, John T, Papenfuss A, Dobrovic A.","Adv Exp Med Biol. 2016;924:139-146.","Adv Exp Med Biol.  2016","PubMed","citation","PMID:27753035","pubmed","27753035","create date:2016/10/19 | first author:Do H",
"Clinical Utility of Circulating Tumor DNA for Molecular Assessment and Precision Medicine in Pancreatic Cancer.","/pubmed/27753011","Takai E, Totoki Y, Nakamura H, Kato M, Shibata T, Yachida S.","Adv Exp Med Biol. 2016;924:13-17.","Adv Exp Med Biol.  2016","PubMed","citation","PMID:27753011","pubmed","27753011","create date:2016/10/19 | first author:Takai E",
"[A preliminary study for the effect of nano hydroxyapatite on human adipose-derived mesenchymal stem cells mixture 3D bio-printing].","/pubmed/27752177","Song Y, Wang XF, Wang YG, Dong F, Lv PJ.","Beijing Da Xue Xue Bao. 2016 Oct 18;48(5):894-899. Chinese. ","Beijing Da Xue Xue Bao.  2016","PubMed","citation","PMID:27752177","pubmed","27752177","create date:2016/10/19 | first author:Song Y",
"[Impact of different degree pulpitis on cell proliferation and osteoblastic differentiation of dental pulp stem cell in Beagle immature premolars].","/pubmed/27752174","Ling L, Zhao YM, Ge LH.","Beijing Da Xue Xue Bao. 2016 Oct 18;48(5):878-883. Chinese. ","Beijing Da Xue Xue Bao.  2016","PubMed","citation","PMID:27752174","pubmed","27752174","create date:2016/10/19 | first author:Ling L",
"Characterisation of peripheral blood mononuclear cell microRNA in early onset psoriatic arthritis.","/pubmed/27749230","Ciancio G, Ferracin M, Saccenti E, Bagnari V, Farina I, Furini F, Galuppi E, Zagatti B, Trotta F, Negrini M, Govoni M.","Clin Exp Rheumatol. 2017 Jan-Feb;35(1):113-121.","Clin Exp Rheumatol.  2017","PubMed","citation","PMID:27749230","pubmed","27749230","create date:2016/10/18 | first author:Ciancio G",
"Investigating the mechanisms of glyphosate resistance in goosegrass (Eleusine indica (L.) Gaertn.) by RNA sequencing technology.","/pubmed/27743420","Chen J, Huang H, Wei S, Huang Z, Wang X, Zhang C.","Plant J. 2017 Jan;89(2):407-415. doi: 10.1111/tpj.13395.","Plant J.  2017","PubMed","citation","PMID:27743420","pubmed","27743420","create date:2016/10/16 | first author:Chen J",
"Multiplex quantification of four DNA targets in one reaction with Bio-Rad droplet digital PCR system for GMO detection.","/pubmed/27739510","Dobnik D, Štebih D, Blejec A, Morisset D, Žel J.","Sci Rep. 2016 Oct 14;6:35451. doi: 10.1038/srep35451.","Sci Rep.  2016","PubMed","citation","PMID:27739510 | PMCID:PMC5064307","pubmed","27739510","create date:2016/10/16 | first author:Dobnik D",
"MicroRNA profiling of low-grade glial and glioneuronal tumors shows an independent role for cluster 14q32.31 member miR-487b.","/pubmed/27739438","Ames HM, Yuan M, Vizcaíno MA, Yu W, Rodriguez FJ.","Mod Pathol. 2017 Feb;30(2):204-216. doi: 10.1038/modpathol.2016.177.","Mod Pathol.  2017","PubMed","citation","PMID:27739438 | PMCID:PMC5288128","pubmed","27739438","create date:2016/10/16 | first author:Ames HM",
"Semi-quantitative digital analysis of polymerase chain reaction-electrophoresis gel: Potential applications in low-income veterinary laboratories.","/pubmed/27733792","Antiabong JF, Ngoepe MG, Abechi AS.","Vet World. 2016 Sep;9(9):935-939.","Vet World.  2016","PubMed","citation","PMID:27733792 | PMCID:PMC5057030","pubmed","27733792","create date:2016/10/14 | first author:Antiabong JF",
"The Detection of Androgen Receptor Splice Variant 7 in Plasma-derived Exosomal RNA Strongly Predicts Resistance to Hormonal Therapy in Metastatic Prostate Cancer Patients.","/pubmed/27733296","Del Re M, Biasco E, Crucitta S, Derosa L, Rofi E, Orlandini C, Miccoli M, Galli L, Falcone A, Jenster GW, van Schaik RH, Danesi R.","Eur Urol. 2017 Apr;71(4):680-687. doi: 10.1016/j.eururo.2016.08.012.","Eur Urol.  2017","PubMed","citation","PMID:27733296","pubmed","27733296","create date:2016/10/14 | first author:Del Re M",
"Extending digital PCR analysis by modelling quantification cycle data.","/pubmed/27733121","Wilson PJ, Ellison SL.","BMC Bioinformatics. 2016 Oct 12;17(1):421.","BMC Bioinformatics.  2016","PubMed","citation","PMID:27733121 | PMCID:PMC5062887","pubmed","27733121","create date:2016/10/14 | first author:Wilson PJ",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Nucleolar Dominance and Repression of 45S Ribosomal RNA Genes in Hybrids between Xenopus borealis and X. muelleri (2n = 36).","/pubmed/27728911","Maciak S, Michalak K, Kale SD, Michalak P.","Cytogenet Genome Res. 2016;149(4):290-296.","Cytogenet Genome Res.  2016","PubMed","citation","PMID:27728911","pubmed","27728911","create date:2016/10/12 | first author:Maciak S",
"Polymerase chain reaction in microfluidic devices.","/pubmed/27713993","Ahrberg CD, Manz A, Chung BG.","Lab Chip. 2016 Oct 5;16(20):3866-3884. Review.","Lab Chip.  2016","PubMed","citation","PMID:27713993","pubmed","27713993","create date:2016/10/08 | first author:Ahrberg CD",
"ddpcr: an R package and web application for analysis of droplet digital PCR data.","/pubmed/27703666","Attali D, Bidshahri R, Haynes C, Bryan J.","F1000Res. 2016 Jun 17;5:1411.","F1000Res.  2016","PubMed","citation","PMID:27703666 | PMCID:PMC5031129","pubmed","27703666","create date:2016/10/06 | first author:Attali D",
"Quantitation of circulating satellite RNAs in pancreatic cancer patients.","/pubmed/27699267","Kishikawa T, Otsuka M, Yoshikawa T, Ohno M, Yamamoto K, Yamamoto N, Kotani A, Koike K.","JCI Insight. 2016 Jun 2;1(8):e86646.","JCI Insight.  2016","PubMed","citation","PMID:27699267 | PMCID:PMC5033942","pubmed","27699267","create date:2016/10/05 | first author:Kishikawa T",
"Detecting Circulating Tumor DNA in Hepatocellular Carcinoma Patients Using Droplet Digital PCR Is Feasible and Reflects Intratumoral Heterogeneity.","/pubmed/27698932","Huang A, Zhang X, Zhou SL, Cao Y, Huang XW, Fan J, Yang XR, Zhou J.","J Cancer. 2016 Sep 13;7(13):1907-1914.","J Cancer.  2016","PubMed","citation","PMID:27698932 | PMCID:PMC5039376","pubmed","27698932","create date:2016/10/05 | first author:Huang A",
"Current developments in molecular monitoring in chronic myeloid leukemia.","/pubmed/27695615","Marum JE, Branford S.","Ther Adv Hematol. 2016 Oct;7(5):237-251. Review.","Ther Adv Hematol.  2016","PubMed","citation","PMID:27695615 | PMCID:PMC5026293","pubmed","27695615","create date:2016/10/04 | first author:Marum JE",
"Performance of a real-time PCR-based approach and droplet digital PCR in detecting human parechovirus type 3 RNA.","/pubmed/27690140","Aizawa Y, Koyama A, Ishihara T, Onodera O, Saitoh A.","J Clin Virol. 2016 Nov;84:27-31. doi: 10.1016/j.jcv.2016.09.009.","J Clin Virol.  2016","PubMed","citation","PMID:27690140","pubmed","27690140","create date:2016/10/01 | first author:Aizawa Y",
"Comparison of standard, quantitative and digital PCR in the detection of enterotoxigenic Bacteroides fragilis.","/pubmed/27686415","Purcell RV, Pearson J, Frizelle FA, Keenan JI.","Sci Rep. 2016 Sep 30;6:34554. doi: 10.1038/srep34554.","Sci Rep.  2016","PubMed","citation","PMID:27686415 | PMCID:PMC5043350","pubmed","27686415","create date:2016/10/01 | first author:Purcell RV",
"Identification of miR-30b-3p and miR-30d-5p as direct regulators of androgen receptor signaling in prostate cancer by complementary functional microRNA library screening.","/pubmed/27683042","Kumar B, Khaleghzadegan S, Mears B, Hatano K, Kudrolli TA, Chowdhury WH, Yeater DB, Ewing CM, Luo J, Isaacs WB, Marchionni L, Lupold SE.","Oncotarget. 2016 Nov 8;7(45):72593-72607. doi: 10.18632/oncotarget.12241.","Oncotarget.  2016","PubMed","citation","PMID:27683042","pubmed","27683042","create date:2016/09/30 | first author:Kumar B",
"The fibrolytic potentials of vitamin D and thymoquinone remedial therapies: insights from liver fibrosis established by CCl4 in rats.","/pubmed/27681697","Abdelghany AH, BaSalamah MA, Idris S, Ahmad J, Refaat B.","J Transl Med. 2016 Sep 29;14(1):281.","J Transl Med.  2016","PubMed","citation","PMID:27681697 | PMCID:PMC5041560","pubmed","27681697","create date:2016/09/30 | first author:Abdelghany AH",
"Somatic mutation, copy number and transcriptomic profiles of primary and matched metastatic estrogen receptor-positive breast cancers.","/pubmed/27672107","Fumagalli D, Wilson TR, Salgado R, Lu X, Yu J, O'Brien C, Walter K, Huw LY, Criscitiello C, Laios I, Jose V, Brown DN, Rothé F, Maetens M, Zardavas D, Savas P, Larsimont D, Piccart-Gebhart MJ, Michiels S, Lackner MR, Sotiriou C, Loi S.","Ann Oncol. 2016 Oct;27(10):1860-6. doi: 10.1093/annonc/mdw286.","Ann Oncol.  2016","PubMed","citation","PMID:27672107","pubmed","27672107","create date:2016/09/28 | first author:Fumagalli D",
"Standardization and quality management in next-generation sequencing.","/pubmed/27668169","Endrullat C, Glökler J, Franke P, Frohme M.","Appl Transl Genom. 2016 Jul 1;10:2-9. doi: 10.1016/j.atg.2016.06.001. Review.","Appl Transl Genom.  2016","PubMed","citation","PMID:27668169 | PMCID:PMC5025460","pubmed","27668169","create date:2016/09/27 | first author:Endrullat C",
"[Endoplasmic reticulum stress in INS-1-3 cell associated with the expression changes of MODY gene pathway].","/pubmed/27667109","Liu YT, Li SR, Wang Z, Xiao JZ.","Zhonghua Yi Xue Za Zhi. 2016 Sep 13;96(34):2739-2743. doi: 10.3760/cma.j.issn.0376-2491.2016.34.011. Chinese. ","Zhonghua Yi Xue Za Zhi.  2016","PubMed","citation","PMID:27667109","pubmed","27667109","create date:2016/09/27 | first author:Liu YT",
"Digital Gene Expression Profiling to Explore Differentially Expressed Genes Associated with Terpenoid Biosynthesis during Fruit Development in Litsea cubeba.","/pubmed/27657027","Gao M, Lin L, Chen Y, Wang Y.","Molecules. 2016 Sep 20;21(9). pii: E1251.","Molecules.  2016","PubMed","citation","PMID:27657027","pubmed","27657027","create date:2016/09/23 | first author:Gao M",
"High throughput sequencing analysis of RNA libraries reveals the influences of initial library and PCR methods on SELEX efficiency.","/pubmed/27652575","Takahashi M, Wu X, Ho M, Chomchan P, Rossi JJ, Burnett JC, Zhou J.","Sci Rep. 2016 Sep 22;6:33697. doi: 10.1038/srep33697.","Sci Rep.  2016","PubMed","citation","PMID:27652575 | PMCID:PMC5031971","pubmed","27652575","create date:2016/09/23 | first author:Takahashi M",
"Photobiomodulation (blue and green light) encourages osteoblastic-differentiation of human adipose-derived stem cells: role of intracellular calcium and light-gated ion channels.","/pubmed/27650508","Wang Y, Huang YY, Wang Y, Lyu P, Hamblin MR.","Sci Rep. 2016 Sep 21;6:33719. doi: 10.1038/srep33719.","Sci Rep.  2016","PubMed","citation","PMID:27650508 | PMCID:PMC5030629","pubmed","27650508","create date:2016/09/22 | first author:Wang Y",
"Accelerated intestinal epithelial cell turnover after bowel resection in a rat is correlated with inhibited hedgehog signaling cascade.","/pubmed/27644702","Sukhotnik I, Dorfman T, Halabi S, Pollak Y, Kreizman Shefer H, Coran AG, Berkowitz D.","Pediatr Surg Int. 2016 Dec;32(12):1133-1140.","Pediatr Surg Int.  2016","PubMed","citation","PMID:27644702","pubmed","27644702","create date:2016/09/21 | first author:Sukhotnik I",
"Mutation analysis of circulating plasma DNA to determine response to EGFR tyrosine kinase inhibitor therapy of lung adenocarcinoma patients.","/pubmed/27640882","Riediger AL, Dietz S, Schirmer U, Meister M, Heinzmann-Groth I, Schneider M, Muley T, Thomas M, Sültmann H.","Sci Rep. 2016 Sep 19;6:33505. doi: 10.1038/srep33505.","Sci Rep.  2016","PubMed","citation","PMID:27640882 | PMCID:PMC5027592","pubmed","27640882","create date:2016/09/20 | first author:Riediger AL",
"Comment on 'Determination of Bifidobacterium and Lactobacillus in breast milk of healthy women by digital PCR'.","/pubmed/27633170","Weizman Z.","Benef Microbes. 2016 Nov 30;7(5):621. No abstract available. ","Benef Microbes.  2016","PubMed","citation","PMID:27633170","pubmed","27633170","create date:2016/09/17 | first author:Weizman Z",
"Comparison of droplet digital PCR with quantitative real-time PCR for determination of zygosity in transgenic maize.","/pubmed/27632191","Xu X, Peng C, Wang X, Chen X, Wang Q, Xu J.","Transgenic Res. 2016 Dec;25(6):855-864.","Transgenic Res.  2016","PubMed","citation","PMID:27632191","pubmed","27632191","create date:2016/09/16 | first author:Xu X",
"MacoNPV baculovirus midgut-specific gene expression during infection of the bertha armyworm, Mamestra configurata.","/pubmed/27623563","Donly BC, Kaplanoglu E, Theilmann DA, Baldwin D, Sieminska E, Hegedus DD, Erlandson MA.","Virology. 2016 Dec;499:1-8. doi: 10.1016/j.virol.2016.09.001.","Virology.  2016","PubMed","citation","PMID:27623563","pubmed","27623563","create date:2016/09/14 | first author:Donly BC",
"Quantification of plasmid DNA reference materials for Shiga toxin-producing Escherichia coli based on UV, HR-ICP-MS and digital PCR.","/pubmed/27621755","Liang W, Xu L, Sui Z, Li Y, Li L, Wen Y, Li C, Ren S, Liu G.","Chem Cent J. 2016 Sep 12;10(1):55. doi: 10.1186/s13065-016-0201-0.","Chem Cent J.  2016","PubMed","citation","PMID:27621755 | PMCID:PMC5018943","pubmed","27621755","create date:2016/09/14 | first author:Liang W",
"Cell-free DNA in maternal plasma and serum: A comparison of quantity, quality and tissue origin using genomic and epigenomic approaches.","/pubmed/27620950","Wong FC, Sun K, Jiang P, Cheng YK, Chan KC, Leung TY, Chiu RW, Lo YM.","Clin Biochem. 2016 Dec;49(18):1379-1386. doi: 10.1016/j.clinbiochem.2016.09.009.","Clin Biochem.  2016","PubMed","citation","PMID:27620950","pubmed","27620950","create date:2016/09/14 | first author:Wong FC",
"Digital PCR Panel for Sensitive Hematopoietic Chimerism Quantification after Allogeneic Stem Cell Transplantation.","/pubmed/27618030","Stahl T, Rothe C, Böhme MU, Kohl A, Kröger N, Fehse B.","Int J Mol Sci. 2016 Sep 9;17(9). pii: E1515. doi: 10.3390/ijms17091515.","Int J Mol Sci.  2016","PubMed","citation","PMID:27618030 | PMCID:PMC5037792","pubmed","27618030","create date:2016/09/13 | first author:Stahl T",
"Validation of a digital PCR method for quantification of DNA copy number concentrations by using a certified reference material.","/pubmed/27617230","Deprez L, Corbisier P, Kortekaas AM, Mazoua S, Beaz Hidalgo R, Trapmann S, Emons H.","Biomol Detect Quantif. 2016 Aug 30;9:29-39. doi: 10.1016/j.bdq.2016.08.002.","Biomol Detect Quantif.  2016","PubMed","citation","PMID:27617230 | PMCID:PMC5007884","pubmed","27617230","create date:2016/09/13 | first author:Deprez L",
"Influence of primer & probe chemistry and amplification target on reverse transcription digital PCR quantification of viral RNA.","/pubmed/27617229","Van Heuverswyn F, Karczmarczyk M, Schimmel H, Trapmann S, Emons H.","Biomol Detect Quantif. 2016 Aug 27;9:20-8. doi: 10.1016/j.bdq.2016.08.003.","Biomol Detect Quantif.  2016","PubMed","citation","PMID:27617229 | PMCID:PMC5007883","pubmed","27617229","create date:2016/09/13 | first author:Van Heuverswyn F",
"The prolactin receptor is expressed in rheumatoid arthritis and psoriatic arthritis synovial tissue and contributes to macrophage activation.","/pubmed/27616146","Tang MW, Reedquist KA, Garcia S, Fernandez BM, Codullo V, Vieira-Sousa E, Goffin V, Reuwer AQ, Twickler MT, Gerlag DM, Tak PP.","Rheumatology (Oxford). 2016 Dec;55(12):2248-2259.","Rheumatology (Oxford).  2016","PubMed","citation","PMID:27616146 | PMCID:PMC5144667","pubmed","27616146","create date:2016/09/13 | first author:Tang MW",
